project_id,project_name,remaining_story_points,avg_weekly_velocity,velocity_std,team_size,blocked_tasks_count,high_complexity_count,avg_task_age_days,team_experience_score,actual_weeks_taken
synthetic_082,Project 82,138,18.18667240382481,1.9646785598768357,10,8,0,6.34344020989634,0.5128732789156445,11.02474192364252
synthetic_085,Project 85,206,17.614611599241847,8.712294337611297,3,4,8,7.116803752079834,0.36615860720326243,18.02028465233942
synthetic_009,Project 9,235,8.38015521330728,1.5045476050312694,9,7,2,23.70526621593617,0.6938739836076573,52.0
synthetic_020,Project 20,202,28.563729613875374,5.5714987824692646,5,5,7,14.109019033381152,0.9392250415816479,12.000195239025706
synthetic_061,Project 61,99,22.247929945330096,11.06135748342948,6,4,3,16.615628532039622,0.9300466481524143,6.586609591935692
synthetic_031,Project 31,25,17.994284906897,1.9106807952965377,6,7,0,16.582949005064698,0.6719901049610448,2.479669503975423
synthetic_064,Project 64,79,23.758715019973547,3.1146215367302252,11,8,3,29.586322334388086,0.7538051141128342,6.016374034927743
synthetic_037,Project 37,77,31.230924694415233,6.249325027419887,7,9,5,9.097965440196685,0.649103577677826,4.604455982890806
synthetic_093,Project 93,222,33.33519233416802,5.750094880594115,9,2,0,22.233619478701772,0.6734075235669427,8.517374705116527
synthetic_002,Project 2,180,16.21454055990752,5.024927833900055,6,11,8,8.736874205941257,0.6977043815695466,22.57322572731391
synthetic_032,Project 32,210,16.253819520753908,2.8665953300108917,5,0,2,5.084782400582775,0.6619208205979276,16.071639377796267
synthetic_067,Project 67,30,24.04152931450765,6.067032409579818,2,5,0,25.149861141334135,0.6046505538667306,1.7023345392906308
synthetic_058,Project 58,186,19.453994249668362,8.998284623284716,7,6,2,7.610465216194163,0.5633813564079211,15.430319549893554
synthetic_050,Project 50,55,18.044488316405143,7.40843867116631,4,7,6,27.92271976810694,0.8579682886979576,5.548554491795397
proj_003,API Gateway Migration,200,15.0,5.5,8,6,12,15.0,0.65,15.8
proj_004,Dashboard Analytics,60,25.0,2.8,4,0,2,3.5,0.88,2.8
