project_id,project_name,remaining_story_points,avg_weekly_velocity,velocity_std,team_size,blocked_tasks_count,high_complexity_count,avg_task_age_days,team_experience_score,actual_weeks_taken
proj_001,E-commerce Platform,120,18.5,3.2,6,2,5,8.5,0.75,7.2
proj_002,Mobile App Redesign,85,22.0,4.1,5,1,3,5.2,0.82,4.5
proj_003,API Gateway Migration,200,15.0,5.5,8,6,12,15.0,0.65,15.8
proj_004,Dashboard Analytics,60,25.0,2.8,4,0,2,3.5,0.88,2.8
proj_005,Payment Integration,150,12.5,6.0,7,8,10,20.0,0.55,14.5
synthetic_000,Project 0,199,33.66928627306774,13.22521405810657,8,4,6,13.374982585607734,0.3649836952817018,9.45784222317501
synthetic_001,Project 1,119,11.857404083892401,4.272879463310127,6,4,1,21.659963168004744,0.9100592608602376,11.690045112556867
synthetic_002,Project 2,180,16.21454055990752,5.024927833900055,6,11,8,8.736874205941257,0.6977043815695466,22.57322572731391
synthetic_003,Project 3,127,21.884329837167513,7.374271313844881,4,2,4,18.22634555704315,0.4108406803967395,6.862568534635254
synthetic_004,Project 4,108,34.072064893013106,14.424713251046821,5,8,9,2.930163420191516,0.7447514672329019,6.505838931749817
synthetic_005,Project 5,191,21.369776573004295,2.430927662463733,8,0,3,5.46708263364187,0.790984916706474,10.047748773417062
synthetic_006,Project 6,125,23.327908851139767,2.6249803380069183,7,1,9,13.49262400109297,0.5568476534011793,9.247702132305728
synthetic_007,Project 7,225,13.29153728531692,1.569609807278979,9,7,4,11.660318690684461,0.4763768706530323,32.73165524411166
synthetic_008,Project 8,236,15.585231761559282,4.941740869000629,11,8,0,0.46909220223581793,0.5752109624591402,24.050619751637246
synthetic_009,Project 9,235,8.38015521330728,1.5045476050312694,9,7,2,23.70526621593617,0.6938739836076573,52.0
synthetic_010,Project 10,60,32.703911239682085,14.390225603305488,11,11,1,2.8623034947123394,0.5410318639288731,3.720213898144019
synthetic_011,Project 11,118,23.96504026810863,5.02999155942442,6,2,0,11.487806242613695,0.9316128620029174,6.309515677337774
synthetic_012,Project 12,237,14.371592833221804,2.909203152206889,6,10,8,21.31988669057362,0.37207903352769034,35.61964366527939
synthetic_013,Project 13,82,32.18561708318502,9.338595298753564,4,3,4,7.478766874466248,0.5667488999731594,3.9499830996923104
synthetic_014,Project 14,32,10.07845756537741,2.175944845616886,5,5,1,18.7306214440138,0.4921618957945141,4.059002067674574
synthetic_015,Project 15,49,31.848566990809445,7.31682635092973,5,6,8,9.540104249155917,0.3715337509429899,2.656358641706627
synthetic_016,Project 16,135,17.519359121022564,3.8877648381132963,10,5,7,16.022682581263258,0.6151394813833391,14.263587047042192
